snapshot_date,store_id,product_id,available_stock,on_hand_stock,reserved_stock,committed_stock,inventory_on_order,safety_stock
2025-05-28,S087,P00135,37,52,7,8,192,59
2025-01-18,S016,P01480,355,402,34,13,181,21
2025-10-17,S045,P00422,430,556,25,101,1,91
2025-02-23,S035,P02344,174,332,77,81,63,48
2025-08-17,S070,P01233,92,132,18,22,77,89
2025-11-16,S073,P01797,398,460,60,2,160,67
2025-01-29,S059,P04870,121,199,38,40,11,84
2025-06-02,S061,P04567,290,344,27,27,48,28
2025-02-19,S091,P00505,75,83,1,7,82,71
2025-09-08,S013,P00015,87,105,12,6,199,12
2025-03-29,S096,P01668,191,267,9,67,91,63
2025-04-06,S088,P01028,112,181,17,52,1,88
2025-07-27,S056,P02484,230,360,64,66,20,97
2025-09-05,S088,P03592,106,219,50,63,75,38
2025-10-03,S037,P01943,216,306,53,37,169,82
2025-10-12,S033,P03351,150,227,11,66,178,67
2025-04-11,S025,P04819,206,236,28,2,150,88
2025-04-21,S052,P00035,294,410,44,72,134,90
2025-10-26,S033,P03160,358,589,144,87,145,94
2025-09-23,S023,P04464,79,161,45,37,1,49
2025-06-12,S063,P01950,382,394,4,8,102,56
2025-09-09,S021,P02397,478,591,77,36,136,74
2025-09-01,S095,P03515,74,82,5,3,199,94
2025-02-01,S013,P01405,295,433,50,88,30,47
2025-03-15,S024,P01561,281,410,17,112,183,47
2025-04-13,S034,P01959,56,86,9,21,17,43
2025-05-29,S008,P00575,228,372,84,60,2,81
2025-10-28,S090,P02463,219,328,22,87,14,89
2025-06-03,S055,P00396,259,579,165,155,195,90
2025-08-23,S076,P01618,140,246,68,38,19,36
2025-12-07,S055,P02524,110,133,6,17,135,88
2025-01-21,S075,P02645,109,142,19,14,163,18
2025-01-14,S011,P04183,314,592,142,136,5,12
2025-01-05,S092,P01140,210,365,107,48,185,78
2025-07-26,S055,P01247,346,589,143,100,25,13
2025-04-17,S082,P01979,308,458,133,17,151,41
2025-11-21,S076,P01667,327,355,22,6,61,58
2025-12-12,S082,P04564,143,209,11,55,179,59
2025-01-01,S054,P04715,130,253,71,52,33,10
2025-06-12,S031,P00640,222,402,80,100,180,40
2025-10-16,S065,P04484,278,371,29,64,51,28
2025-07-30,S072,P02005,290,487,83,114,53,77
2025-10-07,S061,P02161,241,378,75,62,2,40
2025-05-14,S061,P03056,17,20,3,0,161,13
2025-02-24,S020,P03575,167,266,76,23,53,14
2025-06-14,S060,P01144,42,70,14,14,40,19
2025-09-15,S092,P04138,108,143,25,10,108,42
2025-04-01,S089,P04184,345,374,16,13,114,37
2025-10-29,S045,P02501,82,87,4,1,88,67
2025-11-26,S007,P01750,317,417,23,77,192,22
2025-10-27,S061,P02653,305,353,36,12,5,25
2025-07-03,S062,P02245,296,571,116,159,98,34
2025-02-02,S080,P01094,137,243,50,56,31,90
2025-01-06,S054,P04266,244,266,19,3,192,34
2025-07-04,S073,P01430,170,180,4,6,193,51
2025-12-13,S087,P02634,429,485,55,1,34,49
2025-12-01,S012,P03669,240,413,101,72,82,47
2025-04-07,S033,P01932,308,376,43,25,75,67
2025-07-31,S057,P03314,275,397,29,93,13,59
2025-06-15,S051,P04099,110,181,50,21,141,43
2025-03-25,S086,P01037,261,547,142,144,143,71
2025-03-20,S080,P04720,308,405,33,64,88,68
2025-06-19,S075,P00489,386,450,34,30,152,86
2025-04-23,S016,P02403,99,164,37,28,30,87
2025-09-09,S044,P03223,152,268,75,41,183,39
2025-07-03,S091,P02613,101,137,18,18,153,88
2025-08-25,S078,P02960,107,117,10,0,179,59
2025-09-03,S081,P00203,442,575,114,19,124,91
2025-07-05,S100,P02247,182,209,18,9,136,26
2025-05-17,S056,P03434,20,28,6,2,138,57
2025-04-06,S029,P02846,230,255,15,10,25,90
2025-07-27,S036,P04666,217,415,76,122,110,95
2025-05-09,S054,P03791,126,187,54,7,84,73
2025-01-12,S057,P02967,137,298,88,73,69,36
2025-11-17,S072,P03479,207,346,80,59,71,24
2025-10-21,S088,P04514,266,317,7,44,157,50
2025-08-14,S094,P02239,222,422,94,106,116,11
2025-03-02,S064,P00002,237,358,37,84,21,19
2025-07-19,S072,P03416,170,190,18,2,132,73
2025-01-26,S003,P01154,293,402,31,78,157,84
2025-12-01,S042,P03627,279,399,97,23,59,24
2025-04-16,S067,P01232,118,144,22,4,45,69
2025-02-17,S033,P01841,464,527,63,0,2,22
2025-05-07,S085,P00403,324,479,90,65,45,94
2025-08-31,S024,P03896,161,251,66,24,171,72
2025-07-29,S090,P00440,343,450,29,78,113,59
2025-03-15,S099,P00297,248,370,110,12,127,21
2025-07-04,S055,P01045,467,584,27,90,124,84
2025-03-04,S019,P04649,36,44,2,6,150,61
2025-05-18,S080,P01332,151,216,44,21,153,58
2025-06-23,S066,P01109,362,590,79,149,117,25
2025-07-04,S047,P00185,27,35,7,1,76,72
2025-11-22,S059,P03382,47,76,11,18,82,44
2025-07-08,S032,P01404,442,564,60,62,178,36
2025-08-19,S023,P02925,250,301,7,44,119,29
2025-03-03,S014,P01869,77,99,21,1,102,32
2025-02-05,S063,P00247,189,289,84,16,70,25
2025-02-09,S074,P01794,370,537,30,137,157,36
2025-09-23,S005,P03659,517,562,8,37,158,45
2025-10-12,S073,P03997,125,154,13,16,48,43
2025-03-20,S023,P00049,113,153,36,4,62,90
2025-07-26,S076,P00191,82,151,38,31,170,86
2025-06-08,S100,P04417,426,490,9,55,35,64
2025-05-04,S005,P02837,286,427,44,97,184,49
2025-11-13,S066,P02760,394,563,17,152,49,15
2025-07-25,S079,P03889,226,538,152,160,6,44
2025-11-07,S027,P03756,299,471,110,62,120,50
2025-03-07,S049,P01818,48,97,24,25,39,64
2025-11-03,S033,P00260,96,137,9,32,62,37
2025-04-03,S053,P01477,30,31,1,0,105,48
2025-01-12,S061,P02620,35,42,5,2,140,11
2025-09-09,S053,P02567,348,457,70,39,146,68
2025-09-08,S051,P01505,21,28,2,5,117,94
2025-12-02,S026,P01662,126,187,41,20,48,11
2025-03-08,S084,P01160,416,557,138,3,133,15
2025-07-12,S054,P03168,361,440,71,8,79,56
2025-01-20,S057,P00148,225,453,121,107,16,66
2025-03-29,S053,P04466,360,564,122,82,118,83
2025-02-09,S071,P01260,26,40,5,9,38,31
2025-04-18,S095,P01552,280,357,6,71,45,25
2025-05-13,S062,P02437,246,359,93,20,184,42
2025-04-13,S057,P00997,234,436,106,96,148,19
2025-04-03,S091,P01400,147,226,36,43,172,46
2025-10-14,S015,P03287,36,41,4,1,26,28
2025-04-25,S078,P03932,148,222,9,65,188,15
2025-01-11,S057,P01579,19,23,2,2,166,15
2025-02-02,S029,P00505,79,103,19,5,189,22
2025-06-07,S008,P04847,293,416,79,44,72,34
2025-01-21,S083,P04817,398,523,68,57,8,66
2025-04-12,S019,P03656,143,332,92,97,157,57
2025-06-11,S046,P02512,193,296,32,71,172,44
2025-02-21,S007,P04618,320,376,38,18,91,63
2025-04-14,S024,P00294,347,512,35,130,172,19
2025-05-04,S059,P00133,39,51,5,7,165,38
2025-10-21,S007,P04821,190,236,14,32,20,98
2025-05-11,S084,P01052,88,114,7,19,112,74
2025-11-18,S087,P03789,113,168,25,30,114,50
2025-12-05,S054,P00250,16,22,1,5,199,19
2025-08-08,S052,P03110,433,529,41,55,196,73
2025-08-08,S013,P04629,370,472,70,32,140,38
2025-03-31,S085,P04974,25,36,6,5,154,75
2025-12-11,S006,P03925,286,437,21,130,121,54
2025-10-08,S001,P02024,133,185,8,44,109,87
2025-05-13,S043,P01796,62,94,16,16,18,66
2025-06-11,S098,P02714,182,209,12,15,177,84
2025-11-05,S035,P00761,20,40,11,9,97,90
2025-03-26,S011,P02348,240,296,25,31,16,80
2025-05-10,S064,P01292,375,492,96,21,26,64
2025-01-25,S008,P02830,235,331,70,26,183,26
2025-06-04,S044,P01889,294,423,62,67,171,87
2025-01-25,S079,P04645,211,307,82,14,59,32
2025-01-09,S093,P02301,459,575,13,103,83,61
2025-12-08,S019,P02967,154,229,59,16,188,27
2025-06-08,S005,P00655,258,503,145,100,68,79
2025-10-22,S060,P04019,355,468,11,102,177,68
2025-11-13,S047,P01438,292,348,51,5,13,86
2025-12-26,S059,P03088,249,256,1,6,62,12
2025-09-15,S052,P00807,232,354,73,49,61,10
2025-07-22,S047,P03747,255,299,40,4,140,79
2025-02-03,S025,P00748,219,348,80,49,169,19
2025-07-13,S087,P00825,47,55,1,7,192,59
2025-02-21,S020,P01897,67,112,16,29,70,50
2025-05-02,S042,P01337,68,84,13,3,54,68
2025-12-06,S064,P03632,89,154,42,23,0,11
2025-08-28,S038,P03781,182,222,14,26,136,49
2025-02-13,S009,P01212,146,230,19,65,169,24
2025-03-13,S060,P02225,269,322,6,47,143,28
2025-02-13,S044,P00291,275,471,120,76,35,94
2025-09-21,S005,P00725,121,129,3,5,186,59
2025-01-15,S066,P02602,325,444,100,19,3,73
2025-07-05,S019,P01479,133,182,47,2,75,30
2025-03-10,S036,P01995,119,176,43,14,33,59
2025-01-16,S017,P03381,249,414,88,77,183,87
2025-06-16,S029,P02614,89,193,51,53,108,13
2025-01-10,S027,P00511,167,244,61,16,138,29
2025-10-13,S005,P02228,137,249,48,64,129,30
2025-02-22,S030,P03301,24,29,1,4,191,85
2025-12-31,S042,P03230,194,224,27,3,20,11
2025-04-09,S030,P01921,343,411,30,38,78,10
2025-11-28,S077,P01072,96,151,38,17,101,79
2025-05-13,S054,P02247,235,418,90,93,147,69
2025-11-27,S016,P03566,32,56,12,12,186,65
2025-12-17,S077,P02401,287,325,16,22,58,71
2025-07-25,S064,P02996,177,218,39,2,51,75
2025-05-09,S062,P03296,26,42,6,10,173,68
2025-03-21,S079,P04323,57,67,8,2,116,41
2025-07-07,S019,P00098,360,491,88,43,91,57
2025-12-05,S002,P04002,411,574,76,87,21,25
2025-12-06,S078,P02220,233,499,139,127,193,27
2025-08-27,S014,P04026,220,239,14,5,5,78
2025-08-12,S081,P01914,382,520,45,93,160,55
2025-04-07,S006,P02171,275,429,111,43,100,80
2025-03-14,S074,P04148,327,462,70,65,160,98
2025-04-14,S027,P02730,302,360,6,52,196,68
2025-04-16,S080,P02509,316,518,128,74,184,13
2025-06-13,S032,P02335,21,36,8,7,173,34
2025-11-06,S045,P00739,47,80,18,15,90,70
2025-11-18,S064,P01442,54,69,14,1,43,30
2025-10-23,S098,P02527,320,387,24,43,128,96
2025-10-17,S069,P00388,292,449,51,106,184,87
2025-07-28,S031,P03050,85,115,20,10,55,85
2025-01-09,S083,P03529,236,350,35,79,116,90
2025-12-01,S036,P00011,297,316,2,17,45,90
2025-06-15,S074,P04991,58,112,26,28,73,12
2025-05-12,S051,P00799,316,424,87,21,127,30
2025-10-28,S027,P03878,461,582,15,106,20,39
2025-03-05,S001,P03220,256,488,141,91,124,14
2025-03-23,S089,P04918,289,413,95,29,67,87
2025-09-04,S009,P02798,58,106,28,20,154,45
2025-05-24,S079,P01609,57,67,0,10,102,11
2025-04-19,S072,P03172,281,584,142,161,158,93
2025-11-16,S045,P03843,190,199,6,3,88,97
2025-02-18,S006,P00199,144,180,29,7,1,13
2025-02-17,S075,P04771,421,518,69,28,102,59
2025-03-24,S074,P03021,72,79,0,7,134,35
2025-01-08,S003,P04001,232,424,118,74,143,66
2025-10-30,S006,P03796,18,22,3,1,177,86
2025-06-19,S035,P04531,309,315,3,3,65,55
2025-10-13,S014,P02201,522,550,10,18,21,79
2025-04-02,S076,P03059,239,343,64,40,165,31
2025-01-02,S099,P00701,264,418,105,49,92,97
2025-11-03,S020,P04374,338,477,105,34,128,48
2025-04-20,S039,P04355,222,303,34,47,21,60
2025-07-24,S078,P00399,65,99,14,20,76,89
2025-11-27,S055,P01425,166,202,2,34,140,12
2025-09-16,S029,P01690,254,362,41,67,152,59
2025-08-27,S040,P01658,273,358,48,37,34,93
2025-09-15,S010,P01439,206,254,9,39,37,19
2025-04-01,S097,P03174,227,284,3,54,103,85
2025-01-17,S019,P03333,182,302,50,70,6,56
2025-01-25,S046,P02413,406,589,134,49,26,95
2025-05-05,S080,P04553,91,139,11,37,172,69
2025-01-13,S037,P03732,102,149,28,19,56,76
2025-06-01,S100,P00059,234,437,103,100,85,32
2025-11-12,S024,P03567,236,428,84,108,164,50
2025-12-16,S054,P04794,159,198,11,28,176,35
2025-10-01,S033,P00622,260,442,123,59,10,79
2025-02-04,S082,P03152,68,88,17,3,183,92
2025-05-13,S035,P02184,29,44,10,5,195,10
2025-09-21,S076,P03825,348,474,88,38,65,35
2025-05-28,S021,P03585,194,281,73,14,63,47
2025-08-23,S049,P04422,80,148,41,27,170,10
2025-05-24,S080,P01120,255,302,34,13,6,22
2025-08-10,S100,P04077,39,77,22,16,39,14
2025-07-26,S083,P03675,274,430,88,68,96,47
2025-08-31,S069,P01220,183,273,60,30,22,70
2025-06-23,S058,P00240,390,594,177,27,55,89
2025-06-16,S088,P02911,136,199,41,22,33,70
2025-08-06,S016,P02949,64,90,26,0,121,42
2025-04-23,S005,P01091,195,235,6,34,50,48
2025-08-13,S002,P01498,501,598,40,57,83,74
2025-10-14,S071,P03291,103,133,1,29,114,44
2025-02-03,S023,P04824,175,188,4,9,175,38
2025-03-20,S009,P01811,115,243,67,61,185,53
2025-02-07,S100,P01266,238,441,79,124,195,12
2025-01-18,S082,P03336,255,369,72,42,176,86
2025-07-01,S041,P02520,81,126,19,26,55,51
2025-03-20,S055,P02321,444,577,13,120,97,48
2025-07-17,S037,P00903,117,145,18,10,172,63
2025-11-04,S086,P02546,175,251,3,73,141,22
2025-10-24,S021,P00791,151,213,35,27,73,92
2025-11-27,S086,P03172,148,254,71,35,40,77
2025-04-05,S054,P01736,481,542,39,22,111,86
2025-11-08,S062,P02475,61,101,17,23,104,87
2025-02-26,S059,P04937,91,176,37,48,169,23
2025-10-29,S070,P01563,266,289,6,17,139,66
2025-04-25,S070,P01849,468,532,63,1,176,39
2025-06-24,S073,P00061,148,229,48,33,56,63
2025-06-30,S017,P02404,356,569,79,134,92,86
2025-08-10,S031,P03341,197,384,73,114,41,68
2025-07-02,S042,P00112,88,180,49,43,75,66
2025-03-08,S014,P00690,69,115,21,25,30,83
2025-02-23,S064,P03005,281,428,59,88,172,58
2025-09-12,S086,P01271,132,245,59,54,150,94
2025-10-12,S065,P01309,355,461,39,67,20,14
2025-03-13,S019,P02249,69,144,41,34,54,78
2025-07-12,S076,P03731,180,282,75,27,179,71
2025-08-27,S034,P03925,453,566,57,56,19,14
2025-12-16,S071,P02970,209,283,27,47,158,15
2025-02-09,S066,P01934,238,493,146,109,56,79
2025-08-17,S088,P04641,370,472,40,62,90,71
2025-04-11,S057,P02195,160,301,79,62,140,64
2025-07-23,S043,P00963,154,314,82,78,150,94
2025-04-02,S078,P04043,81,115,3,31,42,92
2025-04-14,S099,P01237,185,351,74,92,152,27
2025-03-12,S072,P04934,512,566,8,46,149,31
2025-11-23,S034,P04201,310,412,90,12,82,49
2025-01-08,S023,P03337,135,198,18,45,138,37
2025-08-01,S038,P03692,186,192,4,2,178,66
2025-10-24,S084,P04687,428,520,2,90,89,76
2025-12-26,S085,P03684,239,323,79,5,134,25
2025-09-15,S072,P02169,466,549,31,52,129,57
2025-08-13,S089,P02158,261,493,90,142,83,41
2025-02-19,S075,P04282,427,588,138,23,31,60
2025-08-14,S016,P04720,310,586,138,138,136,34
2025-09-14,S065,P02152,81,116,8,27,156,69
2025-08-04,S078,P04864,162,186,23,1,77,53
2025-03-01,S052,P04570,105,206,48,53,165,22
2025-09-11,S035,P01395,361,432,6,65,45,28
2025-09-30,S074,P04276,292,541,121,128,55,93
2025-12-18,S034,P00179,278,444,129,37,135,59
2025-09-23,S063,P01396,128,160,0,32,19,38
2025-08-30,S003,P04956,228,328,69,31,25,34
2025-08-28,S069,P02750,234,340,15,91,192,92
2025-12-16,S038,P01868,454,545,43,48,58,47
2025-04-23,S047,P00306,158,278,76,44,134,85
2025-09-15,S007,P04388,158,198,38,2,168,12
2025-02-08,S069,P03198,374,572,51,147,41,99
2025-05-03,S002,P01426,426,507,37,44,132,56
2025-08-13,S025,P02615,105,168,44,19,184,99
2025-04-22,S072,P02267,403,498,80,15,70,16
2025-07-24,S070,P01501,407,533,35,91,82,54
2025-04-26,S077,P03822,140,256,69,47,187,21
2025-01-14,S034,P00012,185,368,94,89,128,40
2025-01-12,S028,P00020,40,43,3,0,38,41
2025-12-25,S031,P03443,98,126,8,20,112,22
2025-09-23,S008,P03531,396,596,177,23,170,26
2025-01-05,S038,P03016,151,257,74,32,184,58
2025-06-13,S095,P04587,237,294,54,3,144,24
2025-08-04,S021,P00496,287,388,24,77,110,95
2025-09-18,S011,P03752,412,576,132,32,148,71
2025-12-27,S071,P00280,69,90,12,9,90,85
2025-12-18,S099,P02113,21,29,1,7,69,63
2025-12-14,S013,P03403,147,199,10,42,70,92
2025-04-17,S098,P04363,296,538,158,84,189,62
2025-01-16,S032,P00950,448,574,115,11,77,11
2025-07-11,S076,P04834,111,163,40,12,0,71
2025-01-03,S013,P01662,348,393,35,10,122,79
2025-08-31,S050,P03459,448,567,106,13,19,90
2025-11-08,S057,P02525,133,187,54,0,127,94
2025-08-07,S020,P04757,23,27,0,4,154,21
2025-01-01,S030,P00016,320,443,5,118,186,19
2025-07-13,S099,P01226,197,302,48,57,155,37
2025-12-30,S047,P00502,228,311,22,61,89,77
2025-12-30,S039,P01873,273,404,95,36,42,82
2025-10-28,S070,P03853,89,123,31,3,101,44
2025-12-23,S075,P00417,248,362,55,59,160,37
2025-10-15,S040,P02604,150,191,23,18,67,36
2025-05-25,S044,P01717,310,571,123,138,57,56
2025-03-19,S053,P01102,563,594,13,18,140,35
2025-11-10,S016,P03959,209,291,15,67,8,68
2025-07-18,S026,P04275,452,578,28,98,150,65
2025-05-31,S084,P02336,185,236,27,24,82,95
2025-01-21,S081,P00127,68,136,33,35,95,26
2025-06-27,S023,P02793,329,440,14,97,114,65
2025-07-30,S067,P00737,186,258,18,54,137,57
2025-07-03,S092,P03389,336,424,18,70,42,39
2025-04-18,S087,P04533,112,213,57,44,62,85
2025-07-21,S093,P02066,204,291,80,7,183,19
2025-10-09,S029,P03303,217,353,92,44,130,99
2025-04-30,S034,P04445,161,207,0,46,123,70
2025-01-04,S013,P04185,168,306,50,88,108,68
2025-01-18,S049,P01800,173,220,3,44,194,38
2025-10-08,S036,P02723,67,91,4,20,105,82
2025-01-23,S092,P00609,360,474,111,3,36,15
2025-04-08,S061,P00911,123,198,38,37,122,68
2025-11-15,S049,P04963,65,90,17,8,101,45
2025-11-15,S097,P01413,130,171,15,26,166,76
2025-12-12,S049,P01428,219,274,53,2,75,17
2025-03-02,S084,P01233,187,256,66,3,73,11
2025-09-30,S016,P03259,334,464,112,18,78,31
2025-03-11,S002,P01499,270,505,90,145,155,17
2025-01-10,S013,P01588,153,230,57,20,10,28
2025-03-03,S050,P01002,97,111,4,10,50,51
2025-03-19,S076,P01054,313,322,4,5,153,68
2025-05-16,S075,P00598,293,593,156,144,124,72
2025-08-23,S050,P00137,228,336,34,74,5,19
2025-01-04,S072,P03547,28,33,1,4,167,39
2025-05-09,S081,P02849,176,228,41,11,118,88
2025-02-09,S009,P01744,44,61,13,4,6,23
2025-08-05,S094,P01203,323,445,90,32,58,38
2025-05-17,S075,P00342,374,459,48,37,38,13
2025-09-02,S095,P03022,272,550,133,145,129,34
2025-08-09,S076,P01369,270,521,120,131,143,54
2025-12-19,S020,P04564,389,468,52,27,125,79
2025-03-20,S092,P01135,358,504,29,117,56,49
2025-11-14,S041,P03937,270,533,133,130,159,42
2025-01-02,S092,P00781,217,323,40,66,167,88
2025-09-18,S026,P04830,411,547,110,26,140,66
2025-04-10,S095,P02357,314,403,86,3,64,64
2025-03-03,S093,P02796,149,211,24,38,133,42
2025-05-11,S044,P04740,385,557,151,21,11,28
2025-04-18,S035,P02504,308,339,1,30,76,87
2025-07-18,S006,P03197,209,343,52,82,90,19
2025-07-27,S010,P03862,360,436,64,12,127,41
2025-12-24,S087,P01257,98,105,3,4,39,74
2025-04-29,S018,P02838,129,145,15,1,39,72
2025-06-15,S044,P00291,360,499,50,89,54,25
2025-03-15,S094,P00017,137,218,21,60,101,89
2025-05-04,S016,P04877,441,525,51,33,183,31
2025-03-12,S019,P03587,168,188,17,3,185,98
2025-03-06,S026,P04457,365,590,77,148,19,86
2025-03-28,S078,P00174,305,452,116,31,23,17
2025-01-06,S077,P02284,281,339,54,4,35,86
2025-11-16,S007,P04660,207,400,119,74,74,66
2025-08-08,S059,P04930,246,517,123,148,170,29
2025-07-28,S010,P04853,37,44,4,3,96,10
2025-03-21,S029,P01664,68,101,20,13,19,45
2025-02-20,S035,P02976,50,56,3,3,137,88
2025-10-25,S096,P04899,378,485,13,94,111,56
2025-11-18,S005,P02317,284,359,48,27,145,40
2025-02-24,S029,P04829,207,286,38,41,110,78
2025-10-05,S041,P01749,57,68,8,3,27,93
2025-09-27,S065,P00606,168,221,8,45,145,79
2025-12-05,S010,P00505,251,518,150,117,137,23
2025-07-19,S010,P03599,40,49,9,0,131,80
2025-10-30,S085,P01165,434,559,74,51,157,26
2025-11-15,S089,P01321,296,413,27,90,162,35
2025-05-12,S013,P02274,452,526,20,54,122,37
2025-03-04,S010,P01189,352,547,92,103,57,82
2025-11-25,S050,P02363,175,308,52,81,71,89
2025-10-03,S006,P03732,328,509,30,151,166,34
2025-08-10,S087,P02424,389,434,6,39,53,23
2025-03-10,S085,P00029,277,312,14,21,104,62
2025-06-30,S069,P04153,60,71,4,7,180,33
2025-08-13,S092,P02738,412,471,17,42,160,38
2025-05-06,S067,P02784,233,368,106,29,68,10
2025-09-11,S023,P00973,295,384,18,71,66,18
2025-03-04,S027,P01648,297,528,100,131,187,75
2025-08-25,S026,P04393,31,50,11,8,50,21
2025-01-26,S099,P03530,145,257,49,63,85,95
2025-07-16,S091,P04613,25,32,3,4,176,62
2025-01-03,S100,P00774,87,132,11,34,94,97
2025-07-11,S053,P04281,397,434,23,14,94,26
2025-08-29,S041,P04085,446,529,12,71,113,61
2025-07-15,S097,P01949,69,116,30,17,127,94
2025-09-30,S004,P00069,208,308,45,55,67,74
2025-10-28,S047,P03993,162,223,46,15,28,81
2025-02-12,S015,P03289,246,280,32,2,77,87
2025-12-01,S014,P00929,67,82,5,10,94,52
2025-10-23,S036,P02350,113,175,20,42,36,31
2025-05-30,S057,P01726,111,208,41,56,116,96
2025-07-25,S091,P04760,79,89,2,8,6,27
2025-08-21,S028,P01817,323,598,127,148,117,51
2025-07-25,S006,P01724,376,586,50,160,169,45
2025-08-27,S082,P01262,490,591,34,67,147,70
2025-04-11,S046,P01496,464,552,82,6,128,61
2025-01-26,S095,P01020,376,591,122,93,146,74
2025-06-05,S022,P03761,214,347,80,53,48,73
2025-12-25,S045,P00368,244,451,132,75,81,25
2025-06-17,S091,P04286,170,300,86,44,175,47
2025-08-06,S018,P04294,331,464,101,32,160,98
2025-03-27,S056,P03436,276,411,23,112,117,84
2025-04-06,S046,P00833,408,570,108,54,134,95
2025-08-18,S092,P02519,87,96,7,2,49,41
2025-02-15,S017,P00692,108,136,17,11,58,68
2025-07-09,S062,P03811,141,281,74,66,79,71
2025-08-12,S097,P01633,101,232,68,63,162,26
2025-08-15,S052,P01990,322,393,30,41,127,87
2025-02-27,S043,P03386,151,240,58,31,42,10
2025-01-09,S003,P04287,159,256,44,53,160,72
2025-09-29,S002,P04139,460,590,50,80,41,44
2025-08-02,S088,P00156,271,306,2,33,27,14
2025-03-02,S086,P03951,103,144,2,39,84,47
2025-10-19,S073,P03272,247,282,29,6,8,22
2025-12-31,S081,P02776,473,593,18,102,5,66
2025-10-11,S090,P04555,343,575,65,167,13,33
2025-07-05,S002,P04164,303,408,48,57,116,58
2025-12-07,S069,P01036,48,86,18,20,85,52
