product_id,product_name,category,subcategory,brand,unit_cost,unit_price,size,color
P00117,Product 117,Apparel,Bags,BrandA,46.3,150.63,L,Black
P00118,Product 118,Accessories,Bags,BrandB,8.51,145.99,S,Black
P00119,Product 119,Accessories,Bags,BrandB,95.63,85.87,L,Red
P00120,Product 120,Footwear,Caps,BrandC,41.62,277.26,M,Black
P00121,Product 121,Apparel,Caps,BrandB,102.0,131.16,L,Blue
P00122,Product 122,Accessories,Caps,BrandC,113.32,260.59,M,Red
P00123,Product 123,Footwear,Bags,BrandA,137.81,41.8,S,Red
P00124,Product 124,Accessories,Bags,BrandB,143.93,102.47,S,Red
P00125,Product 125,Accessories,Bags,BrandA,6.53,61.14,L,Blue
P00126,Product 126,Apparel,Caps,BrandA,148.6,128.44,S,Blue
P00127,Product 127,Accessories,Bags,BrandA,104.04,42.37,M,Blue
P00128,Product 128,Apparel,Shoes,BrandA,98.31,137.9,M,Blue
P00129,Product 129,Accessories,Bags,BrandB,7.21,112.62,S,Black
P00130,Product 130,Footwear,Shoes,BrandA,129.88,74.76,S,Black
P00131,Product 131,Accessories,Bags,BrandC,26.1,196.23,S,Blue
P00132,Product 132,Apparel,Caps,BrandB,126.41,285.76,L,Blue
P00133,Product 133,Apparel,Bags,BrandA,7.26,70.06,L,Black
P00134,Product 134,Footwear,Shoes,BrandB,98.66,216.42,M,Black
P00135,Product 135,Accessories,Shoes,BrandC,68.05,225.29,L,Blue
P00136,Product 136,Accessories,Bags,BrandA,34.11,154.45,L,Red
P00137,Product 137,Footwear,Shoes,BrandC,20.6,270.32,M,Red
P00138,Product 138,Accessories,Shoes,BrandA,68.82,290.25,M,Blue
P00139,Product 139,Accessories,Caps,BrandC,22.88,115.05,S,Red
P00140,Product 140,Apparel,Bags,BrandA,75.53,198.8,S,Black
P00141,Product 141,Accessories,Bags,BrandB,95.66,202.04,L,Red
P00142,Product 142,Accessories,Bags,BrandA,124.97,127.05,M,Blue
P00143,Product 143,Footwear,Shoes,BrandB,103.4,101.87,L,Red
P00144,Product 144,Footwear,Bags,BrandA,14.45,280.79,L,Red
P00145,Product 145,Apparel,Bags,BrandA,49.58,239.09,M,Red
P00146,Product 146,Accessories,Caps,BrandC,46.76,43.19,M,Black
P00147,Product 147,Accessories,Caps,BrandC,137.68,44.77,M,Black
P00148,Product 148,Accessories,Caps,BrandC,130.83,277.54,M,Black
P00149,Product 149,Apparel,Shoes,BrandA,58.67,33.61,L,Blue
P00150,Product 150,Apparel,Bags,BrandA,15.32,209.64,L,Red
P00151,Product 151,Footwear,Caps,BrandA,134.65,75.76,L,Black
P00152,Product 152,Apparel,Caps,BrandB,133.79,20.2,M,Black
P00153,Product 153,Accessories,Caps,BrandB,128.94,27.29,S,Red
P00154,Product 154,Accessories,Bags,BrandA,127.54,118.32,L,Blue
P00155,Product 155,Apparel,Bags,BrandC,74.64,32.5,S,Red
P00156,Product 156,Accessories,Bags,BrandC,30.73,183.03,S,Blue
P00157,Product 157,Accessories,Shoes,BrandC,74.24,197.7,S,Red
P00158,Product 158,Apparel,Shoes,BrandA,76.72,118.31,M,Black
P00159,Product 159,Apparel,Caps,BrandC,76.04,225.43,M,Black
P00160,Product 160,Accessories,Bags,BrandA,83.12,152.11,L,Black
P00161,Product 161,Accessories,Caps,BrandB,42.36,134.77,L,Blue
P00162,Product 162,Accessories,Bags,BrandC,58.1,128.03,M,Red
P00163,Product 163,Footwear,Bags,BrandB,67.96,135.02,M,Blue
P00164,Product 164,Footwear,Bags,BrandC,24.01,290.69,S,Black
P00165,Product 165,Footwear,Shoes,BrandA,71.03,207.61,M,Blue
P00166,Product 166,Apparel,Shoes,BrandA,122.52,101.41,M,Blue
P00167,Product 167,Footwear,Bags,BrandA,125.07,222.82,M,Blue
P00168,Product 168,Apparel,Caps,BrandA,64.68,105.78,M,Red
P00169,Product 169,Apparel,Bags,BrandC,80.23,46.46,S,Blue
P00170,Product 170,Footwear,Bags,BrandB,9.88,147.85,L,Blue
P00171,Product 171,Footwear,Caps,BrandA,102.79,227.8,S,Blue
P00172,Product 172,Footwear,Bags,BrandC,63.67,119.52,M,Black
P00173,Product 173,Accessories,Caps,BrandB,69.59,262.06,M,Black
P00174,Product 174,Footwear,Shoes,BrandA,131.68,122.22,L,Red
P00175,Product 175,Accessories,Shoes,BrandB,71.97,111.45,L,Black
P00176,Product 176,Apparel,Caps,BrandA,8.07,299.49,L,Red
P00177,Product 177,Accessories,Shoes,BrandB,37.99,149.92,S,Black
P00178,Product 178,Footwear,Shoes,BrandB,73.96,243.51,L,Red
P00179,Product 179,Apparel,Caps,BrandA,66.54,243.45,M,Red
P00180,Product 180,Apparel,Shoes,BrandC,129.75,278.65,M,Red
P00181,Product 181,Apparel,Bags,BrandB,83.61,34.62,M,Black
P00182,Product 182,Accessories,Bags,BrandA,105.0,88.65,S,Blue
P00183,Product 183,Footwear,Caps,BrandB,73.05,232.65,L,Black
P00184,Product 184,Apparel,Shoes,BrandB,68.75,173.15,L,Blue
P00185,Product 185,Apparel,Bags,BrandC,69.71,172.29,L,Black
P00186,Product 186,Apparel,Bags,BrandB,64.58,58.2,L,Blue
P00187,Product 187,Accessories,Shoes,BrandB,83.09,91.53,M,Black
P00188,Product 188,Accessories,Shoes,BrandA,41.31,161.19,S,Red
P00189,Product 189,Footwear,Bags,BrandA,134.2,90.38,L,Red
P00190,Product 190,Accessories,Bags,BrandC,53.3,70.98,M,Red
P00191,Product 191,Apparel,Caps,BrandB,26.39,35.45,M,Blue
P00192,Product 192,Footwear,Caps,BrandB,19.0,55.16,S,Blue
P00193,Product 193,Apparel,Bags,BrandB,6.95,232.97,L,Red
P00194,Product 194,Apparel,Caps,BrandC,66.31,218.45,S,Blue
P00195,Product 195,Accessories,Bags,BrandB,32.2,23.29,L,Red
P00196,Product 196,Footwear,Bags,BrandA,8.14,68.95,S,Black
P00197,Product 197,Accessories,Caps,BrandC,80.4,172.53,L,Blue
P00198,Product 198,Accessories,Caps,BrandA,103.6,103.56,L,Blue
P00199,Product 199,Footwear,Shoes,BrandA,17.43,248.74,S,Black
P00200,Product 200,Apparel,Shoes,BrandC,71.83,237.65,L,Blue
P00201,Product 201,Apparel,Shoes,BrandA,112.83,268.56,S,Blue
P00202,Product 202,Footwear,Bags,BrandB,147.94,173.25,S,Blue
P00203,Product 203,Apparel,Caps,BrandC,101.74,112.1,L,Black
P00204,Product 204,Footwear,Bags,BrandA,40.5,185.76,L,Red
P00205,Product 205,Footwear,Caps,BrandB,108.9,35.85,S,Red
P00206,Product 206,Accessories,Bags,BrandB,91.7,12.78,M,Black
P00207,Product 207,Footwear,Shoes,BrandA,35.71,14.96,S,Black
P00208,Product 208,Accessories,Shoes,BrandB,128.41,128.19,M,Black
P00209,Product 209,Apparel,Shoes,BrandC,66.97,76.14,M,Red
P00210,Product 210,Apparel,Bags,BrandA,144.49,55.63,S,Black
P00211,Product 211,Apparel,Caps,BrandB,109.82,188.44,S,Red
P00212,Product 212,Apparel,Caps,BrandB,98.46,298.58,S,Black
P00213,Product 213,Accessories,Shoes,BrandA,110.61,61.55,M,Blue
P00214,Product 214,Apparel,Shoes,BrandA,74.32,168.46,S,Red
P00215,Product 215,Footwear,Shoes,BrandA,78.26,44.72,S,Red
P00216,Product 216,Footwear,Shoes,BrandA,128.43,280.93,L,Black
P00217,Product 217,Footwear,Caps,BrandC,103.73,94.61,L,Blue
P00218,Product 218,Accessories,Bags,BrandA,135.1,264.72,L,Red
P00219,Product 219,Apparel,Bags,BrandC,134.17,92.09,S,Black
P00220,Product 220,Apparel,Bags,BrandC,146.59,243.76,S,Blue
P00221,Product 221,Apparel,Bags,BrandA,106.53,70.72,S,Red
P00222,Product 222,Accessories,Shoes,BrandC,77.83,94.91,M,Black
P00223,Product 223,Footwear,Shoes,BrandA,29.12,65.82,M,Blue
P00224,Product 224,Footwear,Shoes,BrandA,107.28,86.64,L,Red
P00225,Product 225,Apparel,Bags,BrandB,47.28,252.11,M,Red
P00226,Product 226,Footwear,Shoes,BrandA,46.03,195.32,M,Blue
P00227,Product 227,Footwear,Shoes,BrandB,39.55,127.71,M,Black
P00228,Product 228,Accessories,Caps,BrandC,131.89,291.74,L,Black
P00229,Product 229,Accessories,Caps,BrandB,130.85,144.81,L,Blue
P00230,Product 230,Accessories,Shoes,BrandC,96.49,291.23,M,Red
P00231,Product 231,Accessories,Caps,BrandA,73.58,67.01,S,Blue
P00232,Product 232,Apparel,Caps,BrandC,102.46,272.35,L,Blue
P00233,Product 233,Accessories,Shoes,BrandC,93.05,14.01,M,Blue
P00234,Product 234,Footwear,Shoes,BrandA,65.28,168.14,S,Red
P00235,Product 235,Apparel,Shoes,BrandC,60.05,132.69,S,Blue
P00236,Product 236,Footwear,Shoes,BrandA,60.51,162.28,L,Blue
P00237,Product 237,Footwear,Bags,BrandB,90.42,170.5,S,Red
P00238,Product 238,Footwear,Bags,BrandA,98.91,122.82,L,Red
P00239,Product 239,Accessories,Shoes,BrandA,70.5,299.48,M,Blue
P00240,Product 240,Accessories,Caps,BrandC,145.46,293.19,L,Black
P00241,Product 241,Apparel,Shoes,BrandB,17.16,288.91,S,Blue
P00242,Product 242,Apparel,Shoes,BrandA,55.32,293.93,L,Red
P00243,Product 243,Accessories,Caps,BrandB,65.77,239.97,L,Red
P00244,Product 244,Footwear,Bags,BrandB,7.45,296.69,M,Red
P00245,Product 245,Apparel,Shoes,BrandC,57.92,268.78,S,Black
P00246,Product 246,Accessories,Shoes,BrandA,44.69,130.62,L,Red
P00247,Product 247,Accessories,Bags,BrandC,78.38,237.59,M,Black
P00248,Product 248,Accessories,Bags,BrandA,53.78,274.5,M,Red
P00249,Product 249,Footwear,Caps,BrandB,110.3,216.66,M,Red
P00250,Product 250,Accessories,Bags,BrandA,78.94,132.61,M,Blue
P00251,Product 251,Accessories,Bags,BrandA,23.82,29.08,M,Black
P00252,Product 252,Accessories,Bags,BrandB,113.76,244.81,L,Blue
P00253,Product 253,Accessories,Caps,BrandB,19.39,286.3,L,Black
P00254,Product 254,Apparel,Bags,BrandA,126.66,115.11,S,Red
P00255,Product 255,Apparel,Bags,BrandC,140.06,54.05,L,Red
P00256,Product 256,Accessories,Caps,BrandA,51.75,104.69,S,Black
P00257,Product 257,Footwear,Bags,BrandB,139.29,178.96,S,Blue
P00258,Product 258,Apparel,Bags,BrandC,119.99,101.91,S,Black
P00259,Product 259,Accessories,Caps,BrandB,138.75,187.08,L,Black
P00260,Product 260,Apparel,Shoes,BrandB,101.61,290.39,M,Black
P00261,Product 261,Apparel,Caps,BrandC,39.17,204.51,S,Red
P00262,Product 262,Footwear,Bags,BrandB,134.71,115.17,M,Black
P00263,Product 263,Accessories,Bags,BrandB,31.72,281.37,S,Red
P00264,Product 264,Accessories,Bags,BrandB,35.89,174.03,L,Blue
P00265,Product 265,Footwear,Caps,BrandB,44.3,47.23,S,Red
P00266,Product 266,Footwear,Bags,BrandB,49.12,154.7,L,Blue
P00267,Product 267,Accessories,Bags,BrandB,79.6,199.55,M,Blue
P00268,Product 268,Accessories,Caps,BrandB,108.45,253.09,L,Blue
P00269,Product 269,Footwear,Shoes,BrandB,139.3,281.58,M,Red
P00270,Product 270,Apparel,Shoes,BrandB,17.82,102.05,L,Black
P00271,Product 271,Apparel,Bags,BrandA,143.38,55.1,S,Red
P00272,Product 272,Footwear,Caps,BrandA,138.59,31.41,S,Blue
P00273,Product 273,Apparel,Bags,BrandB,12.83,224.12,L,Black
P00274,Product 274,Footwear,Caps,BrandA,57.25,240.6,M,Red
P00275,Product 275,Apparel,Caps,BrandC,122.91,128.72,M,Blue
P00276,Product 276,Apparel,Shoes,BrandA,93.68,124.82,M,Blue
P00277,Product 277,Accessories,Shoes,BrandB,117.97,286.73,L,Black
P00278,Product 278,Accessories,Caps,BrandB,109.26,275.84,L,Red
P00279,Product 279,Apparel,Bags,BrandA,77.03,77.65,L,Black
P00280,Product 280,Apparel,Shoes,BrandB,10.98,236.43,L,Black
P00281,Product 281,Accessories,Bags,BrandC,89.72,190.58,M,Black
P00282,Product 282,Accessories,Shoes,BrandC,12.04,54.72,M,Black
P00283,Product 283,Accessories,Shoes,BrandB,92.54,113.46,L,Red
P00284,Product 284,Footwear,Bags,BrandC,121.06,61.47,L,Black
P00285,Product 285,Apparel,Shoes,BrandC,89.82,95.6,M,Blue
P00286,Product 286,Accessories,Shoes,BrandA,149.57,188.44,M,Blue
P00287,Product 287,Apparel,Bags,BrandC,71.1,118.83,S,Blue
P00288,Product 288,Footwear,Shoes,BrandA,113.58,124.28,L,Black
P00289,Product 289,Footwear,Shoes,BrandB,101.75,166.5,S,Blue
P00290,Product 290,Accessories,Shoes,BrandA,148.76,35.3,M,Red
P00291,Product 291,Footwear,Bags,BrandB,108.42,224.25,M,Black
P00292,Product 292,Apparel,Caps,BrandB,28.78,126.5,L,Black
P00293,Product 293,Accessories,Bags,BrandB,143.55,149.32,S,Black
P00294,Product 294,Apparel,Caps,BrandB,101.83,292.55,M,Red
P00295,Product 295,Apparel,Shoes,BrandB,13.6,109.87,S,Black
P00296,Product 296,Footwear,Caps,BrandA,100.35,197.98,S,Black
P00297,Product 297,Footwear,Bags,BrandB,133.05,123.83,S,Blue
P00298,Product 298,Footwear,Bags,BrandC,88.67,269.34,S,Blue
P00299,Product 299,Footwear,Shoes,BrandC,56.33,255.56,S,Black
P00300,Product 300,Footwear,Caps,BrandB,124.03,80.07,L,Red
P00301,Product 301,Accessories,Shoes,BrandC,118.46,210.61,L,Blue
P00302,Product 302,Apparel,Shoes,BrandA,83.91,28.9,S,Black
P00303,Product 303,Apparel,Bags,BrandA,27.38,289.32,L,Blue
P00304,Product 304,Apparel,Caps,BrandB,41.39,111.21,M,Blue
P00305,Product 305,Apparel,Caps,BrandB,112.08,251.23,S,Red
P00306,Product 306,Footwear,Caps,BrandB,121.88,102.35,L,Black
P00307,Product 307,Apparel,Caps,BrandC,45.49,193.5,L,Blue
P00308,Product 308,Accessories,Shoes,BrandC,58.36,295.24,M,Black
P00309,Product 309,Accessories,Shoes,BrandA,16.26,264.26,M,Red
P00310,Product 310,Apparel,Bags,BrandC,108.45,56.51,M,Red
P00311,Product 311,Apparel,Shoes,BrandA,5.52,168.77,M,Blue
P00312,Product 312,Accessories,Shoes,BrandC,11.75,111.07,S,Red
P00313,Product 313,Accessories,Bags,BrandA,5.63,135.96,L,Blue
P00314,Product 314,Footwear,Bags,BrandB,98.57,107.2,L,Black
P00315,Product 315,Accessories,Bags,BrandC,65.52,107.43,M,Blue
P00316,Product 316,Footwear,Shoes,BrandA,48.14,167.34,L,Blue
P00317,Product 317,Footwear,Shoes,BrandC,137.34,65.67,L,Red
P00318,Product 318,Footwear,Bags,BrandB,32.96,165.84,L,Black
P00319,Product 319,Footwear,Bags,BrandA,61.46,90.9,M,Black
P00320,Product 320,Footwear,Bags,BrandC,141.35,93.81,L,Blue
P00321,Product 321,Apparel,Shoes,BrandC,66.93,224.24,L,Black
P00322,Product 322,Accessories,Shoes,BrandB,85.43,18.58,L,Black
P00323,Product 323,Footwear,Caps,BrandB,16.65,120.47,S,Blue
P00324,Product 324,Accessories,Shoes,BrandA,119.57,128.18,S,Blue
P00325,Product 325,Accessories,Shoes,BrandC,66.3,150.68,L,Black
P00326,Product 326,Footwear,Shoes,BrandC,121.07,204.01,L,Blue
P00327,Product 327,Apparel,Bags,BrandB,41.8,117.21,L,Red
P00328,Product 328,Footwear,Shoes,BrandB,66.26,71.81,L,Black
P00329,Product 329,Apparel,Bags,BrandA,119.05,266.61,L,Blue
P00330,Product 330,Accessories,Caps,BrandC,146.21,294.5,L,Black
P00331,Product 331,Apparel,Caps,BrandC,13.65,15.8,S,Black
P00332,Product 332,Apparel,Bags,BrandA,122.81,168.48,M,Red
P00333,Product 333,Apparel,Bags,BrandA,48.6,109.09,L,Red
P00334,Product 334,Accessories,Bags,BrandB,84.86,90.33,L,Black
P00335,Product 335,Accessories,Shoes,BrandB,47.06,107.35,L,Red
P00336,Product 336,Apparel,Caps,BrandA,93.95,195.27,M,Blue
P00337,Product 337,Apparel,Bags,BrandA,56.3,65.31,L,Black
P00338,Product 338,Footwear,Shoes,BrandC,53.37,274.73,L,Red
P00339,Product 339,Apparel,Caps,BrandA,10.5,145.17,M,Black
P00340,Product 340,Footwear,Shoes,BrandA,26.31,104.42,L,Black
P00341,Product 341,Apparel,Caps,BrandC,137.98,232.0,M,Blue
P00342,Product 342,Footwear,Shoes,BrandA,149.75,14.74,M,Blue
P00343,Product 343,Accessories,Caps,BrandB,118.18,135.24,L,Blue
P00344,Product 344,Apparel,Caps,BrandB,46.59,113.04,S,Red
P00345,Product 345,Apparel,Shoes,BrandC,63.35,108.08,S,Red
P00346,Product 346,Apparel,Bags,BrandA,112.23,107.75,L,Red
P00347,Product 347,Apparel,Caps,BrandB,145.43,19.07,M,Blue
P00348,Product 348,Footwear,Bags,BrandB,71.04,54.11,M,Black
P00349,Product 349,Apparel,Shoes,BrandB,125.28,51.15,M,Blue
P00350,Product 350,Accessories,Bags,BrandB,146.38,296.7,L,Red
P00351,Product 351,Accessories,Bags,BrandA,131.65,16.43,S,Red
P00352,Product 352,Apparel,Bags,BrandA,37.94,58.45,M,Red
P00353,Product 353,Accessories,Bags,BrandA,6.16,292.51,M,Blue
P00354,Product 354,Apparel,Bags,BrandA,76.35,192.19,L,Red
P00355,Product 355,Apparel,Caps,BrandB,82.05,140.69,S,Blue
P00356,Product 356,Accessories,Caps,BrandC,34.18,32.84,S,Black
P00357,Product 357,Apparel,Caps,BrandC,46.28,204.2,L,Blue
P00358,Product 358,Accessories,Shoes,BrandB,115.95,49.96,S,Red
P00359,Product 359,Footwear,Bags,BrandB,73.2,204.64,L,Black
P00360,Product 360,Apparel,Caps,BrandC,51.02,293.96,M,Red
P00361,Product 361,Footwear,Shoes,BrandC,95.28,164.27,L,Black
P00362,Product 362,Accessories,Caps,BrandB,99.65,72.08,M,Red
P00363,Product 363,Footwear,Caps,BrandB,116.56,191.33,L,Blue
P00364,Product 364,Footwear,Bags,BrandA,27.72,158.75,M,Red
P00365,Product 365,Accessories,Shoes,BrandA,112.52,164.61,M,Blue
P00366,Product 366,Footwear,Bags,BrandC,91.92,148.65,L,Blue
P00367,Product 367,Footwear,Bags,BrandB,13.35,205.38,M,Black
P00368,Product 368,Accessories,Caps,BrandC,117.73,175.86,S,Blue
P00369,Product 369,Footwear,Bags,BrandA,60.55,296.23,L,Blue
P00370,Product 370,Accessories,Shoes,BrandA,52.91,249.5,S,Blue
P00371,Product 371,Footwear,Bags,BrandC,69.97,86.76,M,Black
P00372,Product 372,Accessories,Bags,BrandA,55.2,220.47,M,Red
P00373,Product 373,Accessories,Bags,BrandB,54.05,72.15,M,Red
P00374,Product 374,Footwear,Caps,BrandC,122.17,236.88,L,Blue
P00375,Product 375,Footwear,Shoes,BrandB,23.05,52.79,M,Blue
P00376,Product 376,Footwear,Caps,BrandB,145.74,147.33,S,Red
P00377,Product 377,Apparel,Caps,BrandA,85.47,239.28,S,Blue
P00378,Product 378,Apparel,Caps,BrandB,31.52,91.23,L,Red
P00379,Product 379,Apparel,Caps,BrandC,24.03,252.76,S,Black
